Model,Cluster,Component,Feature,ConnectionInstance,Combined
collision detection networking subsystem networking subsystem standard,40,vehicle bus shortwave receiver cellular receiver shortwave sender cellular sender bus driver event distributor vehicle memory receiver shortwave receiver cellular receiver sender shortwave sender cellular sender vehicle processor,received message message to send received broadcast ba received broadcast ba broadcast ba broadcast ba event data ba event data ba ba received message message to send received data message received data message received message message to send message message data message message data ba,message to send sendershortwave sendermessage data message to send sendercellular sendermessage data vehicle bus shortwave receiverba vehicle bus cellular receiverba vehicle bus shortwave senderba vehicle bus cellular senderba vehicle bus event distributorba vehicle bus bus driverba shortwave receiverba vehicle bus cellular receiverba vehicle bus shortwave senderba vehicle bus cellular senderba vehicle bus bus driverba vehicle bus event distributorba vehicle bus receivershortwave receivermessage received message receivercellular receivermessage received message,vehicle bus shortwave receiver cellular receiver shortwave sender cellular sender bus driver event distributor vehicle memory receiver shortwave receiver cellular receiver sender shortwave sender cellular sender vehicle processor received message message to send received broadcast ba received broadcast ba broadcast ba broadcast ba event data ba event data ba ba received message message to send received data message received data message received message message to send message message data message message data ba message to send sendershortwave sendermessage data message to send sendercellular sendermessage data vehicle bus shortwave receiverba vehicle bus cellular receiverba vehicle bus shortwave senderba vehicle bus cellular senderba vehicle bus event distributorba vehicle bus bus driverba shortwave receiverba vehicle bus cellular receiverba vehicle bus shortwave senderba vehicle bus cellular senderba vehicle bus bus driverba vehicle bus event distributorba vehicle bus receivershortwave receivermessage received message receivercellular receivermessage received message
collision detection prediction subsystem prediction subsystem standard,39,vehicle bus gps sensor magnetic speedometer frontal obstacle lidar rear obstacle lidar frontal vehicle cc sensor rear vehicle cc sensor side vehicle cc sensor brake depth sensor tire pressure sensor tire tread sensor wheel slippage sensor road condition sensor visibility sensor driver responsiveness sensor driver impairment sensor vehicle memory motion predictor data collector data processor collision classifier vehicle predictor data collector data processor collision classifier obstacle predictor data collector data processor collision classifier speed predictor data collector data processor collision classifier tire predictor data collector data processor collision classifier condition predictor data collector data processor collision classifier driver predictor data collector data processor collision classifier external message predictor data collector data processor collision classifier vehicle processor,external message external message unavoidable external message avoidable motion detector unavoidable motion detector avoidable obstacle detector unavoidable obstacle detector avoidable speed detector unavoidable speed detector avoidable vehicle detector unavoidable vehicle detector avoidable tire detector unavoidable tire detector avoidable condition detector unavoidable condition detector avoidable driver detector unavoidable driver detector avoidable false positive sensor data ba sensor data ba sensor data ba sensor data ba sensor data ba sensor data ba sensor data ba sensor data ba sensor data ba sensor data ba sensor data ba sensor data ba sensor data ba sensor data ba sensor data ba ba sensor output avoidable collision detected unavoidable collision detected false positive sensor data raw data processed data collision likely collision unlikely collision data false positive avoidable collision detected unavoidable collision detected sensor output avoidable collision detected unavoidable collision detected false positive sensor data raw data processed data collision likely collision unlikely collision data false positive avoidable collision detected unavoidable collision detected sensor output avoidable collision detected unavoidable collision detected false positive sensor data raw data processed data collision likely collision unlikely collision data false positive avoidable collision detected unavoidable collision detected sensor output avoidable collision detected unavoidable collision detected false positive sensor data raw data processed data collision likely collision unlikely collision data false positive avoidable collision detected unavoidable collision detected sensor output avoidable collision detected unavoidable collision detected false positive sensor data raw data processed data collision likely collision unlikely collision data false positive avoidable collision detected unavoidable collision detected sensor output avoidable collision detected unavoidable collision detected false positive sensor data raw data processed data collision likely collision unlikely collision data false positive avoidable collision detected unavoidable collision detected sensor output avoidable collision detected unavoidable collision detected false positive sensor data raw data processed data collision likely collision unlikely collision data false positive avoidable collision detected unavoidable collision detected sensor output avoidable collision detected unavoidable collision detected false positive sensor data raw data processed data collision likely collision unlikely collision data false positive avoidable collision detected unavoidable collision detected ba,data collectorraw data data processorprocessed data data processorcollision likely collision classifiercollision data data collectorraw data data processorprocessed data data processorcollision likely collision classifiercollision data data collectorraw data data processorprocessed data data processorcollision likely collision classifiercollision data data collectorraw data data processorprocessed data data processorcollision likely collision classifiercollision data data collectorraw data data processorprocessed data data processorcollision likely collision classifiercollision data data collectorraw data data processorprocessed data data processorcollision likely collision classifiercollision data data collectorraw data data processorprocessed data data processorcollision likely collision classifiercollision data data collectorraw data data processorprocessed data data processorcollision likely collision classifiercollision data external message external message predictordata collectorsensor data vehicle bus gps sensorba vehicle bus magnetic speedometerba vehicle bus frontal obstacle lidarba vehicle bus rear obstacle lidarba vehicle bus frontal vehicle cc sensorba vehicle bus rear vehicle cc sensorba vehicle bus side vehicle cc sensorba vehicle bus tire pressure sensorba vehicle bus tire tread sensorba vehicle bus wheel slippage sensorba vehicle bus brake depth sensorba vehicle bus road condition sensorba vehicle bus visibility sensorba vehicle bus driver responsiveness sensorba vehicle bus driver impairment sensorba gps sensorsensor data motion predictordata collectorsensor data gps sensorba vehicle bus magnetic speedometersensor data speed predictordata collectorsensor data magnetic speedometerba vehicle bus frontal obstacle lidarsensor data obstacle predictordata collectorsensor data frontal obstacle lidarba vehicle bus rear obstacle lidarsensor data obstacle predictordata collectorsensor data rear obstacle lidarba vehicle bus frontal vehicle cc sensorsensor data vehicle predictordata collectorsensor data frontal vehicle cc sensorba vehicle bus rear vehicle cc sensorsensor data vehicle predictordata collectorsensor data rear vehicle cc sensorba vehicle bus side vehicle cc sensorsensor data vehicle predictordata collectorsensor data side vehicle cc sensorba vehicle bus brake depth sensorba vehicle bus tire pressure sensorsensor data tire predictordata collectorsensor data tire pressure sensorba vehicle bus tire tread sensorsensor data tire predictordata collectorsensor data tire tread sensorba vehicle bus wheel slippage sensorsensor data tire predictordata collectorsensor data wheel slippage sensorba vehicle bus road condition sensorsensor data condition predictordata collectorsensor data road condition sensorba vehicle bus visibility sensorba vehicle bus driver responsiveness sensorsensor data driver predictordata collectorsensor data driver responsiveness sensorba vehicle bus driver impairment sensorsensor data driver predictordata collectorsensor data driver impairment sensorba vehicle bus motion predictorcollision classifierfalse positive false positive motion predictorcollision classifieravoidable collision detected motion detector avoidable motion predictorcollision classifierunavoidable collision detected motion detector unavoidable vehicle predictorcollision classifierfalse positive false positive vehicle predictorcollision classifieravoidable collision detected vehicle detector avoidable vehicle predictorcollision classifierunavoidable collision detected vehicle detector unavoidable obstacle predictorcollision classifierfalse positive false positive obstacle predictorcollision classifieravoidable collision detected obstacle detector avoidable obstacle predictorcollision classifierunavoidable collision detected obstacle detector unavoidable speed predictorcollision classifierfalse positive false positive speed predictorcollision classifieravoidable collision detected speed detector avoidable speed predictorcollision classifierunavoidable collision detected speed detector unavoidable tire predictorcollision classifierfalse positive false positive tire predictorcollision classifieravoidable collision detected tire detector avoidable tire predictorcollision classifierunavoidable collision detected tire detector unavoidable condition predictorcollision classifierfalse positive false positive condition predictorcollision classifieravoidable collision detected condition detector avoidable condition predictorcollision classifierunavoidable collision detected condition detector unavoidable driver predictorcollision classifierfalse positive false positive driver predictorcollision classifieravoidable collision detected driver detector avoidable driver predictorcollision classifierunavoidable collision detected driver detector unavoidable external message predictorcollision classifierfalse positive false positive external message predictorcollision classifieravoidable collision detected external message avoidable external message predictorcollision classifierunavoidable collision detected external message unavoidable,vehicle bus gps sensor magnetic speedometer frontal obstacle lidar rear obstacle lidar frontal vehicle cc sensor rear vehicle cc sensor side vehicle cc sensor brake depth sensor tire pressure sensor tire tread sensor wheel slippage sensor road condition sensor visibility sensor driver responsiveness sensor driver impairment sensor vehicle memory motion predictor data collector data processor collision classifier vehicle predictor data collector data processor collision classifier obstacle predictor data collector data processor collision classifier speed predictor data collector data processor collision classifier tire predictor data collector data processor collision classifier condition predictor data collector data processor collision classifier driver predictor data collector data processor collision classifier external message predictor data collector data processor collision classifier vehicle processor external message external message unavoidable external message avoidable motion detector unavoidable motion detector avoidable obstacle detector unavoidable obstacle detector avoidable speed detector unavoidable speed detector avoidable vehicle detector unavoidable vehicle detector avoidable tire detector unavoidable tire detector avoidable condition detector unavoidable condition detector avoidable driver detector unavoidable driver detector avoidable false positive sensor data ba sensor data ba sensor data ba sensor data ba sensor data ba sensor data ba sensor data ba sensor data ba sensor data ba sensor data ba sensor data ba sensor data ba sensor data ba sensor data ba sensor data ba ba sensor output avoidable collision detected unavoidable collision detected false positive sensor data raw data processed data collision likely collision unlikely collision data false positive avoidable collision detected unavoidable collision detected sensor output avoidable collision detected unavoidable collision detected false positive sensor data raw data processed data collision likely collision unlikely collision data false positive avoidable collision detected unavoidable collision detected sensor output avoidable collision detected unavoidable collision detected false positive sensor data raw data processed data collision likely collision unlikely collision data false positive avoidable collision detected unavoidable collision detected sensor output avoidable collision detected unavoidable collision detected false positive sensor data raw data processed data collision likely collision unlikely collision data false positive avoidable collision detected unavoidable collision detected sensor output avoidable collision detected unavoidable collision detected false positive sensor data raw data processed data collision likely collision unlikely collision data false positive avoidable collision detected unavoidable collision detected sensor output avoidable collision detected unavoidable collision detected false positive sensor data raw data processed data collision likely collision unlikely collision data false positive avoidable collision detected unavoidable collision detected sensor output avoidable collision detected unavoidable collision detected false positive sensor data raw data processed data collision likely collision unlikely collision data false positive avoidable collision detected unavoidable collision detected sensor output avoidable collision detected unavoidable collision detected false positive sensor data raw data processed data collision likely collision unlikely collision data false positive avoidable collision detected unavoidable collision detected ba data collectorraw data data processorprocessed data data processorcollision likely collision classifiercollision data data collectorraw data data processorprocessed data data processorcollision likely collision classifiercollision data data collectorraw data data processorprocessed data data processorcollision likely collision classifiercollision data data collectorraw data data processorprocessed data data processorcollision likely collision classifiercollision data data collectorraw data data processorprocessed data data processorcollision likely collision classifiercollision data data collectorraw data data processorprocessed data data processorcollision likely collision classifiercollision data data collectorraw data data processorprocessed data data processorcollision likely collision classifiercollision data data collectorraw data data processorprocessed data data processorcollision likely collision classifiercollision data external message external message predictordata collectorsensor data vehicle bus gps sensorba vehicle bus magnetic speedometerba vehicle bus frontal obstacle lidarba vehicle bus rear obstacle lidarba vehicle bus frontal vehicle cc sensorba vehicle bus rear vehicle cc sensorba vehicle bus side vehicle cc sensorba vehicle bus tire pressure sensorba vehicle bus tire tread sensorba vehicle bus wheel slippage sensorba vehicle bus brake depth sensorba vehicle bus road condition sensorba vehicle bus visibility sensorba vehicle bus driver responsiveness sensorba vehicle bus driver impairment sensorba gps sensorsensor data motion predictordata collectorsensor data gps sensorba vehicle bus magnetic speedometersensor data speed predictordata collectorsensor data magnetic speedometerba vehicle bus frontal obstacle lidarsensor data obstacle predictordata collectorsensor data frontal obstacle lidarba vehicle bus rear obstacle lidarsensor data obstacle predictordata collectorsensor data rear obstacle lidarba vehicle bus frontal vehicle cc sensorsensor data vehicle predictordata collectorsensor data frontal vehicle cc sensorba vehicle bus rear vehicle cc sensorsensor data vehicle predictordata collectorsensor data rear vehicle cc sensorba vehicle bus side vehicle cc sensorsensor data vehicle predictordata collectorsensor data side vehicle cc sensorba vehicle bus brake depth sensorba vehicle bus tire pressure sensorsensor data tire predictordata collectorsensor data tire pressure sensorba vehicle bus tire tread sensorsensor data tire predictordata collectorsensor data tire tread sensorba vehicle bus wheel slippage sensorsensor data tire predictordata collectorsensor data wheel slippage sensorba vehicle bus road condition sensorsensor data condition predictordata collectorsensor data road condition sensorba vehicle bus visibility sensorba vehicle bus driver responsiveness sensorsensor data driver predictordata collectorsensor data driver responsiveness sensorba vehicle bus driver impairment sensorsensor data driver predictordata collectorsensor data driver impairment sensorba vehicle bus motion predictorcollision classifierfalse positive false positive motion predictorcollision classifieravoidable collision detected motion detector avoidable motion predictorcollision classifierunavoidable collision detected motion detector unavoidable vehicle predictorcollision classifierfalse positive false positive vehicle predictorcollision classifieravoidable collision detected vehicle detector avoidable vehicle predictorcollision classifierunavoidable collision detected vehicle detector unavoidable obstacle predictorcollision classifierfalse positive false positive obstacle predictorcollision classifieravoidable collision detected obstacle detector avoidable obstacle predictorcollision classifierunavoidable collision detected obstacle detector unavoidable speed predictorcollision classifierfalse positive false positive speed predictorcollision classifieravoidable collision detected speed detector avoidable speed predictorcollision classifierunavoidable collision detected speed detector unavoidable tire predictorcollision classifierfalse positive false positive tire predictorcollision classifieravoidable collision detected tire detector avoidable tire predictorcollision classifierunavoidable collision detected tire detector unavoidable condition predictorcollision classifierfalse positive false positive condition predictorcollision classifieravoidable collision detected condition detector avoidable condition predictorcollision classifierunavoidable collision detected condition detector unavoidable driver predictorcollision classifierfalse positive false positive driver predictorcollision classifieravoidable collision detected driver detector avoidable driver predictorcollision classifierunavoidable collision detected driver detector unavoidable external message predictorcollision classifierfalse positive false positive external message predictorcollision classifieravoidable collision detected external message avoidable external message predictorcollision classifierunavoidable collision detected external message unavoidable
collision detection response subsystem response subsystem standard,17,external message controller collision event handler crash data response control broadcast tester driver controller collision event handler crash data response control broadcast tester emergency controller collision event handler crash data response control broadcast tester,external message unavoidable external message avoidable emergency message driver alert message sensor data vehicle control data predictor input network control event broad fail broad success broad test read unavoidable read avoidable send emergency message send driver alert read vehicle sensor send proc data read proc data send driver alert send emergency message predict cmd emergency broad test emergency broad success emergency broad fail sensor data vehicle control data predictor input network control event broad fail broad success broad test read unavoidable read avoidable send emergency message send driver alert read vehicle sensor send proc data read proc data send driver alert send emergency message predict cmd emergency broad test emergency broad success emergency broad fail sensor data vehicle control data predictor input network control event broad fail broad success broad test read unavoidable read avoidable send emergency message send driver alert read vehicle sensor send proc data read proc data send driver alert send emergency message predict cmd emergency broad test emergency broad success emergency broad fail,collision event handlersend emergency message response controlpredict cmd collision event handlersend driver alert response controlpredict cmd crash datasend proc data response controlread proc data broadcast testeremergency broad test collision event handlerbroad test collision event handlersend emergency message response controlpredict cmd collision event handlersend driver alert response controlpredict cmd crash datasend proc data response controlread proc data broadcast testeremergency broad test collision event handlerbroad test collision event handlersend emergency message response controlpredict cmd collision event handlersend driver alert response controlpredict cmd crash datasend proc data response controlread proc data broadcast testeremergency broad test collision event handlerbroad test external message unavoidable external message controllercollision event handlerread unavoidable external message unavoidable external message controllercollision event handlerread avoidable external message avoidable external message controllercollision event handlerread unavoidable external message avoidable external message controllercollision event handlerread avoidable driver controllerresponse controlsend driver alert driver alert message emergency controllerresponse controlsend emergency message emergency message,external message controller collision event handler crash data response control broadcast tester driver controller collision event handler crash data response control broadcast tester emergency controller collision event handler crash data response control broadcast tester external message unavoidable external message avoidable emergency message driver alert message sensor data vehicle control data predictor input network control event broad fail broad success broad test read unavoidable read avoidable send emergency message send driver alert read vehicle sensor send proc data read proc data send driver alert send emergency message predict cmd emergency broad test emergency broad success emergency broad fail sensor data vehicle control data predictor input network control event broad fail broad success broad test read unavoidable read avoidable send emergency message send driver alert read vehicle sensor send proc data read proc data send driver alert send emergency message predict cmd emergency broad test emergency broad success emergency broad fail sensor data vehicle control data predictor input network control event broad fail broad success broad test read unavoidable read avoidable send emergency message send driver alert read vehicle sensor send proc data read proc data send driver alert send emergency message predict cmd emergency broad test emergency broad success emergency broad fail collision event handlersend emergency message response controlpredict cmd collision event handlersend driver alert response controlpredict cmd crash datasend proc data response controlread proc data broadcast testeremergency broad test collision event handlerbroad test collision event handlersend emergency message response controlpredict cmd collision event handlersend driver alert response controlpredict cmd crash datasend proc data response controlread proc data broadcast testeremergency broad test collision event handlerbroad test collision event handlersend emergency message response controlpredict cmd collision event handlersend driver alert response controlpredict cmd crash datasend proc data response controlread proc data broadcast testeremergency broad test collision event handlerbroad test external message unavoidable external message controllercollision event handlerread unavoidable external message unavoidable external message controllercollision event handlerread avoidable external message avoidable external message controllercollision event handlerread unavoidable external message avoidable external message controllercollision event handlerread avoidable driver controllerresponse controlsend driver alert driver alert message emergency controllerresponse controlsend emergency message emergency message
collision detection user interaction subsystem user interaction subsystem standard,40,vehicle bus microphone speaker system spoken to vehicle memory speaker controller audio player microphone controller microphone sensor microphone vehicle processor,message received from user message to send to user spoken command ba audio ba sensor data ba ba message audio text audio text sensor ready audio available audio text ba,microphone sensoraudio available microphoneaudio message to send to user speaker controlleraudio playertext vehicle bus microphoneba vehicle bus speakerba microphonespoken command microphone controllersensor ready microphoneba vehicle bus speakerba vehicle bus speaker controlleraudio playeraudio speakeraudio microphone controllermicrophonetext message received from user,vehicle bus microphone speaker system spoken to vehicle memory speaker controller audio player microphone controller microphone sensor microphone vehicle processor message received from user message to send to user spoken command ba audio ba sensor data ba ba message audio text audio text sensor ready audio available audio text ba microphone sensoraudio available microphoneaudio message to send to user speaker controlleraudio playertext vehicle bus microphoneba vehicle bus speakerba microphonespoken command microphone controllersensor ready microphoneba vehicle bus speakerba vehicle bus speaker controlleraudio playeraudio speakeraudio microphone controllermicrophonetext message received from user
collision detection vehicle actuation vehicle actuation standard,43,vehicle bus front brake rear brake accelerator driver seatbelt passenger seatbelt driver headrest passenger headrest driver seat passenger seat airbag driver nudger passenger nudger wheel turner vehicle memory speed actuator command received command processor position actuator command received command processor airbag actuator command received command processor direction actuator command received command processor vehicle processor,speed command position command airbag command direction command engage disengage ba engage disengage ba engage disengage ba engage disengage ba engage disengage ba engage disengage ba engage disengage ba engage disengage ba engage disengage ba engage disengage ba engage disengage ba engage disengage ba engage disengage ba ba command data engage disengage processed command received command command data engage disengage command data engage disengage processed command received command command data engage disengage command data engage disengage processed command received command command data engage disengage command data engage disengage processed command received command command data engage disengage ba,command receivedprocessed command command processorcommand data command receivedprocessed command command processorcommand data command receivedprocessed command command processorcommand data command receivedprocessed command command processorcommand data speed command speed actuatorcommand receivedreceived command position command position actuatorcommand receivedreceived command airbag command airbag actuatorcommand receivedreceived command direction command direction actuatorcommand receivedreceived command speed actuatorcommand processorengage front brakesdisengage speed actuatorcommand processorengage rear brakesdisengage speed actuatorcommand processorengage acceleratorengage speed actuatorcommand processordisengage front brakesengage speed actuatorcommand processordisengage rear brakesengage speed actuatorcommand processordisengage acceleratordisengage position actuatorcommand processorengage driver seatbeltengage position actuatorcommand processorengage passenger seatbeltengage position actuatorcommand processorengage driver seatengage position actuatorcommand processorengage passenger seatengage position actuatorcommand processorengage driver nudgerengage position actuatorcommand processorengage passenger nudgerengage position actuatorcommand processorengage driver headrestengage position actuatorcommand processorengage passenger headrestengage position actuatorcommand processordisengage driver seatbeltdisengage position actuatorcommand processordisengage passenger seatbeltdisengage position actuatorcommand processordisengage driver seatdisengage position actuatorcommand processordisengage passenger seatdisengage position actuatorcommand processordisengage driver nudgerdisengage position actuatorcommand processordisengage passenger nudgerdisengage position actuatorcommand processordisengage driver headrestdisengage position actuatorcommand processordisengage passenger headrestdisengage airbag actuatorcommand processorengage airbagengage airbag actuatorcommand processordisengage airbagdisengage direction actuatorcommand processorengage wheel turnerengage direction actuatorcommand processordisengage wheel turnerdisengage,vehicle bus front brake rear brake accelerator driver seatbelt passenger seatbelt driver headrest passenger headrest driver seat passenger seat airbag driver nudger passenger nudger wheel turner vehicle memory speed actuator command received command processor position actuator command received command processor airbag actuator command received command processor direction actuator command received command processor vehicle processor speed command position command airbag command direction command engage disengage ba engage disengage ba engage disengage ba engage disengage ba engage disengage ba engage disengage ba engage disengage ba engage disengage ba engage disengage ba engage disengage ba engage disengage ba engage disengage ba engage disengage ba ba command data engage disengage processed command received command command data engage disengage command data engage disengage processed command received command command data engage disengage command data engage disengage processed command received command command data engage disengage command data engage disengage processed command received command command data engage disengage ba command receivedprocessed command command processorcommand data command receivedprocessed command command processorcommand data command receivedprocessed command command processorcommand data command receivedprocessed command command processorcommand data speed command speed actuatorcommand receivedreceived command position command position actuatorcommand receivedreceived command airbag command airbag actuatorcommand receivedreceived command direction command direction actuatorcommand receivedreceived command speed actuatorcommand processorengage front brakesdisengage speed actuatorcommand processorengage rear brakesdisengage speed actuatorcommand processorengage acceleratorengage speed actuatorcommand processordisengage front brakesengage speed actuatorcommand processordisengage rear brakesengage speed actuatorcommand processordisengage acceleratordisengage position actuatorcommand processorengage driver seatbeltengage position actuatorcommand processorengage passenger seatbeltengage position actuatorcommand processorengage driver seatengage position actuatorcommand processorengage passenger seatengage position actuatorcommand processorengage driver nudgerengage position actuatorcommand processorengage passenger nudgerengage position actuatorcommand processorengage driver headrestengage position actuatorcommand processorengage passenger headrestengage position actuatorcommand processordisengage driver seatbeltdisengage position actuatorcommand processordisengage passenger seatbeltdisengage position actuatorcommand processordisengage driver seatdisengage position actuatorcommand processordisengage passenger seatdisengage position actuatorcommand processordisengage driver nudgerdisengage position actuatorcommand processordisengage passenger nudgerdisengage position actuatorcommand processordisengage driver headrestdisengage position actuatorcommand processordisengage passenger headrestdisengage airbag actuatorcommand processorengage airbagengage airbag actuatorcommand processordisengage airbagdisengage direction actuatorcommand processorengage wheel turnerengage direction actuatorcommand processordisengage wheel turnerdisengage
crazyflie crazyflie final crazyflie final,19,functional acc gyro magneto pilot fusion controller motor actual uart ic pwm mpu m1 m2 m3 m4 stmf nrf nrf firmware stmf firmware crtp tx task crtp rx task power management main loop,accelero out gyro out magneto out order accelero in gyro in magneto in data f out data f in gyro in motor out tc motor in dof ic bus rate pwm bus rate pwm bus rate pwm bus rate pwm bus ic bus spi bus uart bus pwm bus uart bus syslink packet tx syslink packet rx syslink packet rx syslink packet tx dofs rate rate rate rate msg syslink packet msg syslink packet dofs syslink packet rx syslink packet tx rate rate rate rate,accaccelero out fusionaccelero in gyrogyro out fusiongyro in gyrogyro out controllergyro in magnetomagneto out fusionmagneto in pilotorder controllertc fusiondata f out controllerdata f in controllermotor out motorsmotor in crtp rx tasksyslink packet main loopsyslink packet rx main loopsyslink packet tx crtp tx tasksyslink packet mpudof stmf firmwaremain loopdofs mpuic bus ic mpwm bus pwm mpwm bus pwm mpwm bus pwm mpwm bus pwm stmfic bus ic stmfuart bus uart stmfpwm bus pwm nrfuart bus uart nrf firmwaresyslink packet tx stmf firmwarecrtp rx taskmsg stmf firmwarecrtp tx taskmsg nrf firmwaresyslink packet rx stmf firmwaremain looprate mrate stmf firmwaremain looprate mrate stmf firmwaremain looprate mrate stmf firmwaremain looprate mrate,functional acc gyro magneto pilot fusion controller motor actual uart ic pwm mpu m1 m2 m3 m4 stmf nrf nrf firmware stmf firmware crtp tx task crtp rx task power management main loop accelero out gyro out magneto out order accelero in gyro in magneto in data f out data f in gyro in motor out tc motor in dof ic bus rate pwm bus rate pwm bus rate pwm bus rate pwm bus ic bus spi bus uart bus pwm bus uart bus syslink packet tx syslink packet rx syslink packet rx syslink packet tx dofs rate rate rate rate msg syslink packet msg syslink packet dofs syslink packet rx syslink packet tx rate rate rate rate accaccelero out fusionaccelero in gyrogyro out fusiongyro in gyrogyro out controllergyro in magnetomagneto out fusionmagneto in pilotorder controllertc fusiondata f out controllerdata f in controllermotor out motorsmotor in crtp rx tasksyslink packet main loopsyslink packet rx main loopsyslink packet tx crtp tx tasksyslink packet mpudof stmf firmwaremain loopdofs mpuic bus ic mpwm bus pwm mpwm bus pwm mpwm bus pwm mpwm bus pwm stmfic bus ic stmfuart bus uart stmfpwm bus pwm nrfuart bus uart nrf firmwaresyslink packet tx stmf firmwarecrtp rx taskmsg stmf firmwarecrtp tx taskmsg nrf firmwaresyslink packet rx stmf firmwaremain looprate mrate stmf firmwaremain looprate mrate stmf firmwaremain looprate mrate stmf firmwaremain looprate mrate
crazyflie crazyflie functional crazyflie functional chain,13,acc gyro magneto pilot fusion controller motor,accelero out gyro out magneto out order accelero in gyro in magneto in data f out data f in gyro in motor out tc motor in,accaccelero out fusionaccelero in gyrogyro out fusiongyro in gyrogyro out controllergyro in magnetomagneto out fusionmagneto in pilotorder controllertc fusiondata f out controllerdata f in controllermotor out motorsmotor in,acc gyro magneto pilot fusion controller motor accelero out gyro out magneto out order accelero in gyro in magneto in data f out data f in gyro in motor out tc motor in accaccelero out fusionaccelero in gyrogyro out fusiongyro in gyrogyro out controllergyro in magnetomagneto out fusionmagneto in pilotorder controllertc fusiondata f out controllerdata f in controllermotor out motorsmotor in
crazyflie crazyflie hardware crazyflie,19,uart ic pwm mpu m1 m2 m3 m4 stmf nrf,dof ic bus rate pwm bus rate pwm bus rate pwm bus rate pwm bus ic bus spi bus uart bus pwm bus uart bus,mpuic bus ic mpwm bus pwm mpwm bus pwm mpwm bus pwm mpwm bus pwm stmfic bus ic stmfuart bus uart stmfpwm bus pwm nrfuart bus uart,uart ic pwm mpu m1 m2 m3 m4 stmf nrf dof ic bus rate pwm bus rate pwm bus rate pwm bus rate pwm bus ic bus spi bus uart bus pwm bus uart bus mpuic bus ic mpwm bus pwm mpwm bus pwm mpwm bus pwm mpwm bus pwm stmfic bus ic stmfuart bus uart stmfpwm bus pwm nrfuart bus uart
crazyflie crazyflie system crazyflie system,40,uart ic pwm mpu m1 m2 m3 m4 stmf nrf nrf firmware stmf firmware crtp tx task crtp rx task power management main loop,dof ic bus rate pwm bus rate pwm bus rate pwm bus rate pwm bus ic bus spi bus uart bus pwm bus uart bus syslink packet tx syslink packet rx syslink packet rx syslink packet tx dofs rate rate rate rate msg syslink packet msg syslink packet dofs syslink packet rx syslink packet tx rate rate rate rate,crtp rx tasksyslink packet main loopsyslink packet rx main loopsyslink packet tx crtp tx tasksyslink packet mpudof stmf firmwaremain loopdofs mpuic bus ic mpwm bus pwm mpwm bus pwm mpwm bus pwm mpwm bus pwm stmfic bus ic stmfuart bus uart stmfpwm bus pwm nrfuart bus uart nrf firmwaresyslink packet tx stmf firmwarecrtp rx taskmsg stmf firmwarecrtp tx taskmsg nrf firmwaresyslink packet rx stmf firmwaremain looprate mrate stmf firmwaremain looprate mrate stmf firmwaremain looprate mrate stmf firmwaremain looprate mrate,uart ic pwm mpu m1 m2 m3 m4 stmf nrf nrf firmware stmf firmware crtp tx task crtp rx task power management main loop dof ic bus rate pwm bus rate pwm bus rate pwm bus rate pwm bus ic bus spi bus uart bus pwm bus uart bus syslink packet tx syslink packet rx syslink packet rx syslink packet tx dofs rate rate rate rate msg syslink packet msg syslink packet dofs syslink packet rx syslink packet tx rate rate rate rate crtp rx tasksyslink packet main loopsyslink packet rx main loopsyslink packet tx crtp tx tasksyslink packet mpudof stmf firmwaremain loopdofs mpuic bus ic mpwm bus pwm mpwm bus pwm mpwm bus pwm mpwm bus pwm stmfic bus ic stmfuart bus uart stmfpwm bus pwm nrfuart bus uart nrf firmwaresyslink packet tx stmf firmwarecrtp rx taskmsg stmf firmwarecrtp tx taskmsg nrf firmwaresyslink packet rx stmf firmwaremain looprate mrate stmf firmwaremain looprate mrate stmf firmwaremain looprate mrate stmf firmwaremain looprate mrate
csci adventium lab gumbo plugin pressure ctrl pressure ctrl,7,pressure sensor,env pressure shutdown pressure high indicator,env pressure pressure sensorpressure pressure sensorhigh indicator shutdown,pressure sensor env pressure shutdown pressure high indicator env pressure pressure sensorpressure pressure sensorhigh indicator shutdown
csci adventium lab gumbo plugin pressure ctrl pressure ctrl,7,pressure sensor,env pressure shutdown pressure high indicator,env pressure pressure sensorpressure pressure sensorhigh indicator shutdown,pressure sensor env pressure shutdown pressure high indicator env pressure pressure sensorpressure pressure sensorhigh indicator shutdown
csci adventium lab gumbo plugin radiation ctrl radiation ctrl,7,radiation sensor,env radiation shutdown radiation high indicator,env radiation radiation sensorradiation radiation sensorhigh indicator shutdown,radiation sensor env radiation shutdown radiation high indicator env radiation radiation sensorradiation radiation sensorhigh indicator shutdown
csci adventium lab gumbo plugin radiation ctrl radiation ctrl,7,radiation sensor,env radiation shutdown radiation high indicator,env radiation radiation sensorradiation radiation sensorhigh indicator shutdown,radiation sensor env radiation shutdown radiation high indicator env radiation radiation sensorradiation radiation sensorhigh indicator shutdown
